title,content,comment
뉴비 정박모드,정박 모드에서 출항 준비라는데 어떻게 해야되는건가요??,"항구앞바다로가서z키누르시고,사용하실배선택하고,선원집어넣고,출항하기누르시고,m키눌러서이동할위치를알트+마우스클릭으로위치설정후에t키로자동이동하시면됩니다."
뉴비 에포나 질문,스익 끝내서 너튜브 보고 따라하는중인데요모론토의 대리인 에포나퀘 하려면 해당 일반퀘스트를 깨야한다는데 메인퀘만 한상태거든요점핑권쓰면 일퀘 다 깨진다고 해서 만약 부캐릭 점핑권 만들면본캐릭도 일퀘가 다 깨지는건가요?아니면 스익쓴 본캐릭도 일반퀘를 직접 깨야 저게 열리는건가요,"에포나퀘스트는점핑권점핑권쓰고나면특정조건의에포나퀘스트제외하곤공유되어있을거에요.패치했는지모르겠는데,파푸니카지역은캐릭마다보라색퀘해놔야에포나가활성화되더라구요., 갈필요없이점핑만드면되네여감사함다"
1415 뉴비 하익 홀나 이제 뭐하나용 ?ㅠ,"15만원쯤 현질하고 하익으루 시작하니까 걍 몇일 하니까 1415 되더라고요 ㅠ;;*스킬포인트는 295인가까지 모았는데 아직 부족하고 ...*각인은 33331 맞춰놨어용 (구슬 1 / 축오, 각성, 전문의, 중갑 3)*카던,가디언,에포나는 매일 하구 있습니다.*내실이 스킬포인트 모으는 건가요 ? 이건 지금 일절 안하구 이써용*발탄을 가볼라구 하는데 아는것도 없고 시간도 없어서 이번 주말에 트라이해볼라구 합니당.(트라이팟자체두 없더라구용ㅠ-ㅠ)*내실 하면서 부캐 키우고 발탄 트라이 하면 되는건가용 ???? 점핑1개랑 스익이 남아서 건슬이랑 바드에 발라놨는데 키우진 않았습니당*위명돌이 넘 없어서 강화는 거의 멈췄습니당","1.스킬포인트는천천히모으시면돼요!2.각인처음맞추는거면어려우셧을텐데수고많으셧어요!아브렐슈드34까지는무난히취업가능하실거에요(현재기준)3.에포나미세팁드리면본캐는명예의파편이나돌파석주는거위주로하고배럭으로필요한거깨시는거추천드려요4.내실은스킬포인트포함alt+l누르시면보실수있는모든수집품을모으는걸뜻해요!내실은강요되는게아니라수집하는플레이스타일이아니시면굳이안해도되세요.대신호감도액션일5회는꼭다하시고,ald+d누르시면아이템사전이나오는데스킬포인트,풍요룬은얻어놓으시는걸추천드려요!스킬포인트내실중이그네아증표(모험의서8개완료)는서포터만키우실거면안하셔도돼요5.유튜브에공략글많으니까시간여유나실때한번시청해보셔요!주말엔트라이팟많을거에요!아니면가끔학원팟이라고유저분께서선생님역할맡고기믹과패턴들알려주시는것도있는데이거도추천드려요.저는발탄트라이할때되게재밌었는데작성자님도재밌게트라이하시길기원할게요6.넵!시간적여유가되시면키우면좋아요!내실은일단다찍먹해보시는거추천드려요로아가섬들도여러개고각각매력이있어서섬투어다니는것도재밋어용7.재료모일때마다강화누르셔요!카던,가디언,에포나이외에도태양의회랑,도전어비레이드,도전가디언토벌,주간에포나보상,길드있으시면혈석상점,오레하/아르고스재료및장비분해시재료생각보다많이줘요!일단생각나는건여기까지네요그리고현재이벤트중인프레이야교환(주마다초기화),출석이벤트,홈페이지이벤트페이지가시면초코눈사탕,아크라시아을부탁해에서여러재료들얻으실수있어요또궁금한거있을때편하게여쭤보시면다들친절하게알려주실거에용즐로아하시구!!!주말에발탄트라이화이팅이에요:), 2.아브렐슈드는노말입니당, 답변넘넘감사합니다!"
1440 뉴비 소서 데자뷰 리허설 질문이요!,곧 1445를 앞두고있는데요저번주에 리허설 2관까진 깻고 지금은 강화해서 데자뷰가 가능해졌는데 앞으로 템렙 강화확률 책 얻을려면 데자뷰가는게 맞나요?1440때는 잘 안껴주는 느낌이던데... 그리고 난이도는 어떤가요??마지막으로 군단장 레이드와 카운팅이 어떻게 되는지 궁금합니다,네무족건가시는게좋아용~어렵지않습니다.데자뷰는
로아 이틀차 쌩뉴비애오 첫캐 워로드 잡고 스익중인데,1. 원래 워로드에 하익도 쓰려고 했는데 3/16까지 1302 못찍을 거 같으면 점핑권에라도 하익 쓰는 게 맞나요? 점핑+하익 쓸 캐로는 뭐가 좋을지 추천해주새오2. 나머지 점핑권으로 올릴 캐도 ㅊㅊ부탁드려요좀 찾아보긴 했는데 키우기 번거로운 캐를 점핑으로 쓰라는디 맞는지 모르겠네요,"워로드를스익으로밀면서본캐하실꺼면키워보고싶은캐릭이나스킬멋지거나워로드대신에고민했던걸하시면되는데점핑권하고부캐는키우는유저선택이라서굳이키우기번거로운거점핑권하시기보다는해보고싶은거를하시는걸추천드립니다., 워로드로스윅했는데...너무힘듬몹이안죽음"
핵뉴비 스익 이해가 안돼요 ㅠ,안녕하세요. 로아를 난생처음하는 뉴비 입니다ㅠ 로아 자체가 다른게임에 비해 이해도가 너무 높은것같은데..( 제가 겜알못이라 더그런것 같습니다 )현재 파푸니카까지 밀고 템렙 1100레벨입니다! 믿음장비 15강까지 해놓고 나서 이제 스익 순서 보니까 템렙 1302까지 찍으라고 나와있는데어떻게 해야하는건가요???그다음 순서대로 알려주실분 계실까요 ㅠ?지금 입고 있는 믿음장비 15강짜리는 나중에 버리는건가요? 아니면이걸계속 강화하는건가요?ㅠ 아무리 찾아봐도 이해가 잘 안돼서 조금만 쉽고 자세하게설명해주실 선배님 정말 감사드립니다 ㅠ로아 계속 할 수 있도록 한번만 알려주세요!,"파푸니카카던별1단계돌아서장비6부위먹고재련npc한테가셔서계승하기선택입고있는장비를카던템으로계승하세용, 감사합니다!, 믿음장비는2티어장비라서카오스던전파푸니카1단계보시면입장가능하실거에요거기서1302장비맞추시면됩니다~, 감사합니다!, 그럼파푸니카1단계장비를몇강까지하면1302가되는건가요?, 파푸니카1단계장비노강이1302에요모든부위맞추기만하면스익끝나는거에요, 감사합니다!"
뉴비 인벤토리를 비워줘,카던돌때 인벤토리가 너무 부족한데 필요없는거나 창고에 넣어둬야할거 알려주시면 감사드립니다,"오레하재료다갈아서강화재료ㄱ, 버릴것-3티어미만귀속재료,도약의정수옆에있는로프같은건애니츠서브퀘템이니까완료하시고,옆에하얀거랑씨앗버리고요.비무자우승패버리시고,빨간치유물약버리시고,장비나어빌스톤은필요한트포.특성.각인을팔것빼곤분해하시고요.모험의서요리재료는모아서제작후등록하세요, 필요배템빼곤나머진창고행이요.캐릭공유되는건옆에째그만창고에넣어두면됩니다.보라색지도가영어+301이라고써있으면베른북부에서퀘스트시작하시면됩니다.회복약은종류별로가지고다니셔요., 크게보기평소인벤을90퍼이상비우고다니는제입장에서정리한것입니다아래서3번째줄오른쪽에창고에넣으라는4개의재료는,분해하셔서명예의돌파석으로바꿔먹을수도있습니다.쌓아둬도사실쓸모는없어요, 기본적으로제가정리하는방식은모든교환가능강화재료-창고한켠에쌓아둠.모든교환불가강화재료-3티어아래는버리고,3티어는창고한켠에쌓아둠모든잡템(사진아래서2번째줄같은거)-창고한켠에쌓아둠.잡템은종류마다다르기는한데,하나하나이게필요하고안필요하고판단할수없으면우선쌓아두는게도움이됩니다.정말안나오는게내인벤에들어있을수도있어요사용하지않는보석-창고한켠에쌓아둠배틀아이템이아닌물약(위에서3번째줄물약시리즈)-제일좋은거빼고다버림인벤토리에는배틀아이템,생활관련아이템,포션,각성돌정도있으면충분합니다나머지는종류별로정리해서창고에잘쌓아두세요거래가능강화재료나아이템들은원정대창고활용하시면다른캐릭터에서도쉽게쉽게찾을수있습니다"
스익 뉴비 1100 하는데 막혓어요 ㅠㅠ,너튜브에는 스익 보상으로 15강 믿음 된다는데 저는 왜 안될가요....페이튼까지 스익보상 다받앗어요 ㅠㅠ장갑이랑 무기 마지막에 파괴석 수호석 생명의 파편이 부족한데 혹시 빠른방법잇을가여지금 페이튼에 있어욥,"삭제된 코멘트입니다., 경매장에서소량구입하시거나카오스던전하셔유, 인겜에서도물어보니카던하라고알려주셧어요이걸이제알앗네요ㅠㅠ감사함니다ㅠㅠ스익보상만으론약간딸리네여넘당황쓰..."
뉴비 카드 무지성 우클릭하면 안돼요?,중요하지 않은 카드나중복 몇십장 있는 카드 그냥 우클릭 하면 안돼요?물어보니까필요한것만 쓰라는데이유를 모르겠네요뭐가 열린다고??? 잘 모르겠습니다 ㅜㅜ 슬롯좀 비우고 싶어요,"그게카드보관이한계가있어서50크리로계속열어줘야해서그래요.저도열면서다먹고있습니다.편하신방법으로하시면되요, 아하이해했습니다!!!"
뉴비 질문있어요! 생활스킬도 계정 내 공유되나요?,제목 그대로 생활스킬도 계정 내 다른캐릭 만들었을때 렙이 그대로 보존되나요?본캐와 부캐에서 공유되고 안되는게 어떤 어떤게 있나요?,"거의웬만한건다공유됩니다.내실이라던지수집형포인트,생활도구,나침반및부적,문양다되고안되는건귀속재료?정도있겠네요, 공유안되는게카던,레이드입장횟수,큐브/회랑입장권,귀속재료,캐릭터레벨(이거때문에스포차이나요),길드혈석,에포나/주간에포나의뢰횟수까지생각나요"
